Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,10000,3,3,7,10,18,1,62,"0,000%","170,98401","332,10","0,00"
/P1-base/procesapago,10000,13,12,20,24,33,5,98,"0,000%","169,01599","207,04","0,00"
Total,20000,8,8,17,21,29,1,98,"0,000%","325,25614","515,09","0,00"
