Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,35000,2211,712,2239,5394,63795,1,131218,"0,689%","185,24203","360,55","0,00"
/P1-base/procesapago,35000,2086,729,2216,5296,44519,4,131186,"0,543%","184,81165","227,43","0,00"
Total,70000,2148,721,2219,5355,58114,1,131218,"0,616%","365,49708","580,59","0,00"
