Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,5000,3,3,6,9,16,1,150,"0,000%","85,77653","166,59","0,00"
/P1-base/procesapago,5000,12,12,18,21,30,5,177,"0,000%","85,91361","105,17","0,00"
Total,10000,8,8,16,18,26,1,177,"0,000%","165,30838","261,71","0,00"
