Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,50000,3565,681,2455,9898,129402,1,145536,"2,486%","239,89445","469,16","0,00"
/P1-base/procesapago,50000,2880,697,2115,7917,67445,3,133658,"2,078%","239,13262","297,18","0,00"
Total,100000,3223,689,2316,8782,92998,1,145536,"2,282%","473,59697","757,38","0,00"
