Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,25000,1133,743,2035,3288,9723,1,64769,"0,000%","188,79038","366,81","0,00"
/P1-base/procesapago,25000,1163,761,2076,3312,9868,6,64864,"0,000%","188,87168","231,58","0,00"
Total,50000,1148,752,2054,3299,9849,1,64864,"0,000%","371,37997","588,46","0,00"
