Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,20000,299,329,454,513,548,1,577,"0,000%","312,10986","606,37","0,00"
/P1-base/procesapago,20000,313,341,464,520,559,5,590,"0,000%","308,54198","378,28","0,00"
Total,40000,306,335,459,516,554,1,590,"0,000%","597,87158","947,28","0,00"
