Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,55000,4059,696,2992,14885,129417,0,146784,"3,778%","255,06418","501,57","0,00"
/P1-base/procesapago,55000,3093,711,2513,8438,72349,0,146779,"3,069%","254,26236","318,40","0,00"
Total,110000,3576,703,2756,9860,111024,0,146784,"3,424%","503,52928","810,36","0,00"
