Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,45000,2864,683,2297,8340,69069,1,131185,"1,480%","231,07259","451,13","0,00"
/P1-base/procesapago,45000,2794,701,2202,7374,67856,4,132492,"1,322%","230,88053","285,66","0,00"
Total,90000,2829,692,2251,8125,68469,1,132492,"1,401%","456,83656","728,56","0,00"
