Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,40000,2508,705,2062,5840,65856,1,133492,"1,022%","210,16019","409,52","0,00"
/P1-base/procesapago,40000,2399,722,2047,5365,65603,4,133483,"0,983%","209,78214","259,09","0,00"
Total,80000,2454,713,2055,5634,65660,1,133492,"1,002%","415,15955","660,87","0,00"
