Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
/P1-base/comienzapago,30000,1539,714,1988,4483,23339,1,110361,"0,000%","180,20399","350,14","0,00"
/P1-base/procesapago,30000,1546,732,1925,4399,29759,6,110382,"0,003%","180,00504","220,76","0,00"
Total,60000,1542,723,1959,4452,28197,1,110382,"0,002%","355,41444","563,23","0,00"
